symbol,settle_date,contract_num,open,high,low,close,adj_close,volume,open_interest
CBZ99,20100901,70,75.64,75.64,75.64,75.64,75.64,0,0
CBZ99,20100902,70,75.78,75.78,75.78,75.78,75.78,0,0
CBZ99,20100903,70,75.86,75.86,75.86,75.86,75.86,0,0
CBZ99,20100906,70,76.41,76.41,76.41,76.41,76.41,0,0
CBZ99,20100907,70,76.77,76.77,76.77,76.77,76.77,0,0
CBZ99,20100909,70,77.54,77.54,77.54,77.54,77.54,0,0
CBZ99,20100910,70,77.99,77.99,77.99,77.99,77.99,0,0
CBZ99,20100913,70,77.64,77.64,77.64,77.64,77.64,0,0
CBZ99,20100914,70,78.72,78.72,78.72,78.72,78.72,0,0
CBZ99,20100915,70,78.91,78.91,78.91,78.91,78.91,0,0
CBZ99,20100916,69,78.98,78.98,78.98,78.98,78.98,0,0
CBZ99,20100917,69,79.06,79.06,79.06,79.06,79.06,0,0
CBZ99,20100920,69,78.58,78.58,78.58,78.58,78.58,0,0
CBZ99,20100921,69,78.69,78.69,78.69,78.69,78.69,0,0
CBZ99,20100922,69,79.09,79.09,79.09,79.09,79.09,0,0
CBZ99,20100923,69,78.17,78.17,78.17,78.17,78.17,0,0
CBZ99,20100924,69,77.47,77.47,77.47,77.47,77.47,0,0
CBZ99,20100927,69,78.49,78.49,78.49,78.49,78.49,0,0
CBZ99,20100928,69,78.62,78.62,78.62,78.62,78.62,0,0
CBZ99,20100929,69,78.56,78.56,78.56,78.56,78.56,0,0
CBZ99,20100930,69,79.26,79.26,79.26,79.26,79.26,0,0
CBZ99,20101001,69,81.57,81.57,81.57,81.57,81.57,0,0
CBZ99,20101004,69,83.17,83.17,83.17,83.17,83.17,0,0
CBZ99,20101005,69,83.53,83.53,83.53,83.53,83.53,0,0
CBZ99,20101006,69,83.95,83.95,83.95,83.95,83.95,0,0
CBZ99,20101007,69,84.96,84.96,84.96,84.96,84.96,0,0
CBZ99,20101008,69,85.52,85.52,85.52,85.52,85.52,0,0
CBZ99,20101011,69,84.26,84.26,84.26,84.26,84.26,0,0
CBZ99,20101012,69,83.89,83.89,83.89,83.89,83.89,0,0
CBZ99,20101013,69,83.34,83.34,83.34,83.34,83.34,0,0
CBZ99,20101014,69,84.52,84.52,84.52,84.52,84.52,0,0
CBZ99,20101015,68,84.53,84.53,84.53,84.53,84.53,0,0
CBZ99,20101018,68,83.61,83.61,83.61,83.61,83.61,0,0
CBZ99,20101019,68,83.11,83.11,83.11,83.11,83.11,0,0
CBZ99,20101020,68,82.65,82.65,82.65,82.65,82.65,0,0
CBZ99,20101021,68,82.46,82.46,82.46,82.46,82.46,0,0
CBZ99,20101022,68,83.06,83.06,83.06,83.06,83.06,0,0
CBZ99,20101025,68,82.63,82.63,82.63,82.63,82.63,0,0
CBZ99,20101026,68,83.66,83.66,83.66,83.66,83.66,0,0
CBZ99,20101027,68,83.43,83.43,83.43,83.43,83.43,0,0
CBZ99,20101028,68,82.76,82.76,82.76,82.76,82.76,0,0
CBZ99,20101029,68,83.58,83.58,83.58,83.58,83.58,0,0
CBZ99,20101101,68,83.13,83.13,83.13,83.13,83.13,0,0
CBZ99,20101102,68,84.35,84.35,84.35,84.35,84.35,0,0
CBZ99,20101103,68,85.31,85.31,85.31,85.31,85.31,0,0
CBZ99,20101104,68,86.25,86.25,86.25,86.25,86.25,0,0
CBZ99,20101105,68,87.77,87.77,87.77,87.77,87.77,0,0
CBZ99,20101108,68,87.96,87.96,87.96,87.96,87.96,0,0
CBZ99,20101109,68,87.87,87.87,87.87,87.87,87.87,0,0
CBZ99,20101110,68,88.58,88.58,88.58,88.58,88.58,0,0
CBZ99,20101111,68,88.55,88.55,88.55,88.55,88.55,0,0
CBZ99,20101112,68,89.0,89.0,89.0,89.0,89.0,0,0
CBZ99,20101115,68,87.09,87.09,87.09,87.09,87.09,0,0
CBZ99,20101116,79,86.79,86.79,86.79,86.79,86.79,0,0
CBZ99,20101117,79,85.53,85.53,85.53,85.53,85.53,0,0
CBZ99,20101118,79,84.16,84.16,84.16,84.16,84.16,0,0
CBZ99,20101119,79,84.77,84.77,84.77,84.77,84.77,0,0
CBZ99,20101122,79,84.85,84.85,84.85,84.85,84.85,0,0
CBZ99,20101123,79,84.35,84.35,84.35,84.35,84.35,0,0
CBZ99,20101124,79,83.22,83.22,83.22,83.22,83.22,0,0
CBZ99,20101125,79,84.44,84.44,84.44,84.44,84.44,0,0
CBZ99,20101126,79,86.09,86.09,86.09,86.09,86.09,0,0
CBZ99,20101129,79,85.28,85.28,85.28,85.28,85.28,0,0
CBZ99,20101130,79,86.48,86.48,86.48,86.48,86.48,0,0
CBZ99,20101201,79,86.64,86.64,86.64,86.64,86.64,0,0
CBZ99,20101202,79,87.62,87.62,87.62,87.62,87.62,0,0
CBZ99,20101203,79,89.54,89.54,89.54,89.54,89.54,0,0
CBZ99,20101206,79,90.95,90.95,90.95,90.95,90.95,0,0
CBZ99,20101207,79,91.4,91.4,91.4,91.4,91.4,0,0
CBZ99,20101208,79,91.91,91.91,91.91,91.91,91.91,0,0
CBZ99,20101209,79,90.92,90.92,90.92,90.92,90.92,0,0
CBZ99,20101210,79,90.85,90.85,90.85,90.85,90.85,0,0
CBZ99,20101213,79,90.95,90.95,90.95,90.95,90.95,0,0
CBZ99,20101214,79,91.53,91.53,91.53,91.53,91.53,0,0
CBZ99,20101215,79,91.22,91.22,91.22,91.22,91.22,0,0
CBZ99,20101216,79,91.32,91.32,91.32,91.32,91.32,0,0
CBZ99,20101217,78,91.85,91.85,91.85,91.85,91.85,0,0
CBZ99,20101220,78,91.65,91.65,91.65,91.65,91.65,0,0
CBZ99,20101221,78,92.1,92.1,92.1,92.1,92.1,0,0
CBZ99,20101222,78,93.01,93.01,93.01,93.01,93.01,0,0
CBZ99,20101223,78,93.73,93.73,93.73,93.73,93.73,0,0
CBZ99,20101224,78,93.98,93.98,93.98,93.98,93.98,0,0
CBZ99,20101227,78,94.06,94.06,94.06,94.06,94.06,0,0
CBZ99,20101228,78,93.75,93.75,93.75,93.75,93.75,0,0
CBZ99,20101229,78,94.18,94.18,94.18,94.18,94.18,0,0
CBZ99,20101230,78,94.16,94.16,94.16,94.16,94.16,0,0
CBZ99,20101231,78,93.49,93.49,93.49,93.49,93.49,0,0
CBZ99,20110103,78,93.2,93.2,93.2,93.2,93.2,0,0
CBZ99,20110104,78,95.64,95.64,95.64,95.64,95.64,0,0
CBZ99,20110105,78,94.68,94.68,94.68,94.68,94.68,0,0
CBZ99,20110106,78,93.9,93.9,93.9,93.9,93.9,0,0
CBZ99,20110107,78,95.31,95.31,95.31,95.31,95.31,0,0
CBZ99,20110110,78,94.01,94.01,94.01,94.01,94.01,0,0
CBZ99,20110111,78,94.94,94.94,94.94,94.94,94.94,0,0
CBZ99,20110112,78,96.75,96.75,96.75,96.75,96.75,0,0
CBZ99,20110113,78,98.08,98.08,98.08,98.08,98.08,0,0
CBZ99,20110114,78,98.41,98.41,98.41,98.41,98.41,0,0
CBZ99,20110117,77,98.67,98.67,98.67,98.67,98.67,0,0
CBZ99,20110118,77,97.95,97.95,97.95,97.95,97.95,0,0
CBZ99,20110119,77,97.74,97.74,97.74,97.74,97.74,0,0
CBZ99,20110120,77,98.42,98.42,98.42,98.42,98.42,0,0
CBZ99,20110121,77,97.15,97.15,97.15,97.15,97.15,0,0
CBZ99,20110124,77,97.34,97.34,97.34,97.34,97.34,0,0
CBZ99,20110125,77,97.52,97.52,97.52,97.52,97.52,0,0
CBZ99,20110126,77,95.42,95.42,95.42,95.42,95.42,0,0
CBZ99,20110127,77,96.99,96.99,96.99,96.99,96.99,0,0
CBZ99,20110128,77,98.02,98.02,98.02,98.02,98.02,0,0
CBZ99,20110131,77,98.25,98.25,98.25,98.25,98.25,0,0
CBZ99,20110201,77,99.64,99.64,99.64,99.64,99.64,0,0
CBZ99,20110202,77,101.1,101.1,101.1,101.1,101.1,0,0
CBZ99,20110203,77,102.02,102.02,102.02,102.02,102.02,0,0
CBZ99,20110204,77,102.62,102.62,102.62,102.62,102.62,0,0
CBZ99,20110207,77,101.39,101.39,101.39,101.39,101.39,0,0
CBZ99,20110208,77,100.13,100.13,100.13,100.13,100.13,0,0
CBZ99,20110209,77,99.31,99.31,99.31,99.31,99.31,0,0
CBZ99,20110210,77,100.93,100.93,100.93,100.93,100.93,0,0
CBZ99,20110211,77,101.69,101.69,101.69,101.69,101.69,0,0
CBZ99,20110214,76,101.22,101.22,101.22,101.22,101.22,0,0
CBZ99,20110215,76,102.55,102.55,102.55,102.55,102.55,0,0
CBZ99,20110216,76,102.99,102.99,102.99,102.99,102.99,0,0
CBZ99,20110217,76,102.92,102.92,102.92,102.92,102.92,0,0
CBZ99,20110218,76,103.64,103.64,103.64,103.64,103.64,0,0
CBZ99,20110221,76,102.56,102.56,102.56,102.56,102.56,0,0
CBZ99,20110222,76,104.95,104.95,104.95,104.95,104.95,0,0
CBZ99,20110223,76,106.9,106.9,106.9,106.9,106.9,0,0
CBZ99,20110224,76,108.98,108.98,108.98,108.98,108.98,0,0
CBZ99,20110225,76,113.69,113.69,113.69,113.69,113.69,0,0
CBZ99,20110228,76,112.17,112.17,112.17,112.17,112.17,0,0
CBZ99,20110301,76,112.45,112.45,112.45,112.45,112.45,0,0
CBZ99,20110302,76,113.64,113.64,113.64,113.64,113.64,0,0
CBZ99,20110303,76,116.16,116.16,116.16,116.16,116.16,0,0
CBZ99,20110304,76,115.21,115.21,115.21,115.21,115.21,0,0
CBZ99,20110307,76,115.8,115.8,115.8,115.8,115.8,0,0
CBZ99,20110308,76,117.0,117.0,117.0,117.0,117.0,0,0
CBZ99,20110309,76,114.01,114.01,114.01,114.01,114.01,0,0
CBZ99,20110310,76,114.85,114.85,114.85,114.85,114.85,0,0
CBZ99,20110311,76,114.97,114.97,114.97,114.97,114.97,0,0
CBZ99,20110314,76,113.57,113.57,113.57,113.57,113.57,0,0
CBZ99,20110315,76,112.97,112.97,112.97,112.97,112.97,0,0
CBZ99,20110316,76,109.7,109.7,109.7,109.7,109.7,0,0
CBZ99,20110317,75,110.66,110.66,110.66,110.66,110.66,0,0
CBZ99,20110318,75,113.79,113.79,113.79,113.79,113.79,0,0
CBZ99,20110321,75,114.84,114.84,114.84,114.84,114.84,0,0
CBZ99,20110322,75,115.48,115.48,115.48,115.48,115.48,0,0
CBZ99,20110323,75,115.18,115.18,115.18,115.18,115.18,0,0
CBZ99,20110324,75,115.89,115.89,115.89,115.89,115.89,0,0
CBZ99,20110325,75,115.61,115.61,115.61,115.61,115.61,0,0
CBZ99,20110328,75,115.78,115.78,115.78,115.78,115.78,0,0
CBZ99,20110329,75,115.19,115.19,115.19,115.19,115.19,0,0
CBZ99,20110330,75,114.76,114.76,114.76,114.76,114.76,0,0
CBZ99,20110331,75,115.16,115.16,115.16,115.16,115.16,0,0
CBZ99,20110401,75,116.89,116.89,116.89,116.89,116.89,0,0
CBZ99,20110404,75,118.03,118.03,118.03,118.03,118.03,0,0
CBZ99,20110405,75,120.0,120.0,120.0,120.0,120.0,0,0
CBZ99,20110406,75,121.61,121.61,121.61,121.61,121.61,0,0
CBZ99,20110407,75,122.78,122.78,122.78,122.78,122.78,0,0
CBZ99,20110408,75,122.31,122.31,122.31,122.31,122.31,0,0
CBZ99,20110411,75,125.19,125.19,125.19,125.19,125.19,0,0
CBZ99,20110412,75,125.52,125.52,125.52,125.52,125.52,0,0
CBZ99,20110413,75,122.9,122.9,122.9,122.9,122.9,0,0
CBZ99,20110414,75,122.2,122.2,122.2,122.2,122.2,0,0
CBZ99,20110415,74,122.36,122.36,122.36,122.36,122.36,0,0
CBZ99,20110418,74,122.78,122.78,122.78,122.78,122.78,0,0
CBZ99,20110419,74,122.08,122.08,122.08,122.08,122.08,0,0
CBZ99,20110420,74,120.57,120.57,120.57,120.57,120.57,0,0
CBZ99,20110421,74,123.19,123.19,123.19,123.19,123.19,0,0
CBZ99,20110425,74,123.95,123.95,123.95,123.95,123.95,0,0
CBZ99,20110426,74,124.06,124.06,124.06,124.06,124.06,0,0
CBZ99,20110427,74,124.1,124.1,124.1,124.1,124.1,0,0
CBZ99,20110428,74,124.72,124.72,124.72,124.72,124.72,0,0
CBZ99,20110429,74,125.47,125.47,125.47,125.47,125.47,0,0
CBZ99,20110502,74,125.55,125.55,125.55,125.55,125.55,0,0
CBZ99,20110503,74,124.62,124.62,124.62,124.62,124.62,0,0
CBZ99,20110504,74,123.78,123.78,123.78,123.78,123.78,0,0
CBZ99,20110505,74,121.92,121.92,121.92,121.92,121.92,0,0
CBZ99,20110506,74,116.1,116.1,116.1,116.1,116.1,0,0
CBZ99,20110509,74,110.39,110.39,110.39,110.39,110.39,0,0
CBZ99,20110510,74,113.29,113.29,113.29,113.29,113.29,0,0
CBZ99,20110511,74,116.23,116.23,116.23,116.23,116.23,0,0
CBZ99,20110512,74,115.97,115.97,115.97,115.97,115.97,0,0
CBZ99,20110513,74,112.18,112.18,112.18,112.18,112.18,0,0
CBZ99,20110516,74,113.64,113.64,113.64,113.64,113.64,0,0
CBZ99,20110517,73,112.66,112.66,112.66,112.66,112.66,0,0
CBZ99,20110518,73,110.37,110.37,110.37,110.37,110.37,0,0
CBZ99,20110519,73,111.67,111.67,111.67,111.67,111.67,0,0
CBZ99,20110520,73,112.33,112.33,112.33,112.33,112.33,0,0
CBZ99,20110523,73,111.54,111.54,111.54,111.54,111.54,0,0
CBZ99,20110524,73,109.67,109.67,109.67,109.67,109.67,0,0
CBZ99,20110525,73,112.02,112.02,112.02,112.02,112.02,0,0
CBZ99,20110526,73,113.51,113.51,113.51,113.51,113.51,0,0
CBZ99,20110527,73,114.74,114.74,114.74,114.74,114.74,0,0
CBZ99,20110530,73,115.09,115.09,115.09,115.09,115.09,0,0
CBZ99,20110531,73,114.76,114.76,114.76,114.76,114.76,0,0
CBZ99,20110601,73,116.63,116.63,116.63,116.63,116.63,0,0
CBZ99,20110602,73,116.09,116.09,116.09,116.09,116.09,0,0
CBZ99,20110603,73,114.49,114.49,114.49,114.49,114.49,0,0
