symbol,settle_date,contract_num,open,high,low,close,adj_close,volume,open_interest
CLZ99,20100901,70,0.0,73.91,73.91,73.91,73.91,0,0
CLZ99,20100902,70,0.0,75.02,75.02,75.02,75.02,0,0
CLZ99,20100903,70,0.0,74.6,74.6,74.6,74.6,0,0
CLZ99,20100907,70,0.0,74.09,74.09,74.09,74.09,0,0
CLZ99,20100909,70,0.0,74.25,74.25,74.25,74.25,0,0
CLZ99,20100910,70,0.0,76.45,76.45,76.45,76.45,0,0
CLZ99,20100913,70,0.0,77.19,77.19,77.19,77.19,0,0
CLZ99,20100914,70,0.0,76.8,76.8,76.8,76.8,0,0
CLZ99,20100915,70,0.0,76.02,76.02,76.02,76.02,0,0
CLZ99,20100916,70,0.0,74.57,74.57,74.57,74.57,0,0
CLZ99,20100917,70,0.0,73.66,73.66,73.66,73.66,0,0
CLZ99,20100920,70,0.0,74.86,74.86,74.86,74.86,0,0
CLZ99,20100921,70,0.0,73.52,73.52,73.52,73.52,0,0
CLZ99,20100922,69,0.0,72.86,72.86,72.86,72.86,0,0
CLZ99,20100923,69,0.0,73.43,73.43,73.43,73.43,0,0
CLZ99,20100924,69,0.0,74.99,74.99,74.99,74.99,0,0
CLZ99,20100927,69,0.0,76.52,76.52,76.52,76.52,0,0
CLZ99,20100928,69,0.0,76.18,76.18,76.18,76.18,0,0
CLZ99,20100929,69,0.0,77.86,77.86,77.86,77.86,0,0
CLZ99,20100930,69,0.0,79.97,79.97,79.97,79.97,0,0
CLZ99,20101001,69,0.0,81.58,81.58,81.58,81.58,0,0
CLZ99,20101004,69,0.0,81.47,81.47,81.47,81.47,0,0
CLZ99,20101005,69,0.0,82.82,82.82,82.82,82.82,0,0
CLZ99,20101006,69,0.0,83.23,83.23,83.23,83.23,0,0
CLZ99,20101007,69,0.0,81.67,81.67,81.67,81.67,0,0
CLZ99,20101008,69,0.0,82.66,82.66,82.66,82.66,0,0
CLZ99,20101011,69,0.0,82.21,82.21,82.21,82.21,0,0
CLZ99,20101012,69,0.0,81.67,81.67,81.67,81.67,0,0
CLZ99,20101013,69,0.0,83.01,83.01,83.01,83.01,0,0
CLZ99,20101014,69,0.0,82.69,82.69,82.69,82.69,0,0
CLZ99,20101015,69,0.0,81.25,81.25,81.25,81.25,0,0
CLZ99,20101018,69,0.0,83.08,83.08,83.08,83.08,0,0
CLZ99,20101019,69,0.0,79.49,79.49,79.49,79.49,0,0
CLZ99,20101020,69,0.0,81.77,81.77,81.77,81.77,0,0
CLZ99,20101021,68,0.0,80.06,80.06,80.06,80.06,0,0
CLZ99,20101022,68,0.0,81.19,81.19,81.19,81.19,0,0
CLZ99,20101025,68,0.0,82.0,82.0,82.0,82.0,0,0
CLZ99,20101026,68,0.0,82.55,82.55,82.55,82.55,0,0
CLZ99,20101027,68,0.0,81.94,81.94,81.94,81.94,0,0
CLZ99,20101028,68,0.0,82.18,82.18,82.18,82.18,0,0
CLZ99,20101029,68,0.0,81.43,81.43,81.43,81.43,0,0
CLZ99,20101101,68,0.0,82.95,82.95,82.95,82.95,0,0
CLZ99,20101102,68,0.0,82.95,82.95,82.95,82.95,0,0
CLZ99,20101103,68,0.0,84.69,84.69,84.69,84.69,0,0
CLZ99,20101104,68,0.0,86.49,86.49,86.49,86.49,0,0
CLZ99,20101105,68,0.0,86.85,86.85,86.85,86.85,0,0
CLZ99,20101108,68,0.0,87.06,87.06,87.06,87.06,0,0
CLZ99,20101109,68,0.0,86.72,86.72,86.72,86.72,0,0
CLZ99,20101110,68,0.0,87.81,87.81,87.81,87.81,0,0
CLZ99,20101111,68,0.0,87.81,87.81,87.81,87.81,0,0
CLZ99,20101112,68,0.0,84.88,84.88,84.88,84.88,0,0
CLZ99,20101115,68,0.0,84.86,84.86,84.86,84.86,0,0
CLZ99,20101116,68,0.0,82.34,82.34,82.34,82.34,0,0
CLZ99,20101117,68,0.0,80.44,80.44,80.44,80.44,0,0
CLZ99,20101118,68,0.0,81.85,81.85,81.85,81.85,0,0
CLZ99,20101119,68,0.0,81.51,81.51,81.51,81.51,0,0
CLZ99,20101122,79,0.0,81.74,81.74,81.74,81.74,0,0
CLZ99,20101123,79,0.0,80.75,80.75,80.75,80.75,0,0
CLZ99,20101124,79,0.0,83.26,83.26,83.26,83.26,0,0
CLZ99,20101126,79,0.0,83.16,83.16,83.16,83.16,0,0
CLZ99,20101129,79,0.0,83.73,83.73,83.73,83.73,0,0
CLZ99,20101130,79,0.0,84.11,84.11,84.11,84.11,0,0
CLZ99,20101201,79,0.0,86.75,86.75,86.75,86.75,0,0
CLZ99,20101202,79,0.0,88.0,88.0,88.0,88.0,0,0
CLZ99,20101203,79,0.0,89.19,89.19,89.19,89.19,0,0
CLZ99,20101206,79,0.0,89.38,89.38,89.38,89.38,0,0
CLZ99,20101207,79,0.0,88.69,88.69,88.69,88.69,0,0
