symbol,settle_date,contract_num,open,high,low,close,adj_close,volume,open_interest
NGZ99,20100901,120,0.0,3.82,3.82,3.82,3.82,0,0
NGZ99,20100902,120,0.0,3.81,3.81,3.81,3.81,0,0
NGZ99,20100903,120,0.0,3.745,3.745,3.745,3.745,0,0
NGZ99,20100907,120,0.0,3.815,3.815,3.815,3.815,0,0
NGZ99,20100909,120,0.0,3.785,3.785,3.785,3.785,0,0
NGZ99,20100910,120,0.0,3.85,3.85,3.85,3.85,0,0
NGZ99,20100913,120,0.0,3.89,3.89,3.89,3.89,0,0
NGZ99,20100914,120,0.0,4.01,4.01,4.01,4.01,0,0
NGZ99,20100915,120,0.0,4.06,4.06,4.06,4.06,0,0
NGZ99,20100916,120,0.0,4.055,4.055,4.055,4.055,0,0
NGZ99,20100917,120,0.0,4.08,4.08,4.08,4.08,0,0
NGZ99,20100920,120,0.0,3.955,3.955,3.955,3.955,0,0
NGZ99,20100921,120,0.0,4.0,4.0,4.0,4.0,0,0
NGZ99,20100922,120,0.0,4.02,4.02,4.02,4.02,0,0
NGZ99,20100923,120,0.0,4.1,4.1,4.1,4.1,0,0
NGZ99,20100924,120,0.0,3.97,3.97,3.97,3.97,0,0
NGZ99,20100927,120,0.0,3.79,3.79,3.79,3.79,0,0
NGZ99,20100928,120,0.0,3.81,3.81,3.81,3.81,0,0
NGZ99,20100929,119,0.0,3.8,3.8,3.8,3.8,0,0
NGZ99,20100930,119,0.0,3.825,3.825,3.825,3.825,0,0
NGZ99,20101001,120,0.0,3.665,3.665,3.665,3.665,0,0
NGZ99,20101004,120,0.0,3.55,3.55,3.55,3.55,0,0
NGZ99,20101005,120,0.0,3.52,3.52,3.52,3.52,0,0
NGZ99,20101006,120,0.0,3.61,3.61,3.61,3.61,0,0
NGZ99,20101007,120,0.0,3.51,3.51,3.51,3.51,0,0
NGZ99,20101008,120,0.0,3.285,3.285,3.285,3.285,0,0
NGZ99,20101011,120,0.0,3.455,3.455,3.455,3.455,0,0
NGZ99,20101012,120,0.0,3.445,3.445,3.445,3.445,0,0
NGZ99,20101013,120,0.0,3.625,3.625,3.625,3.625,0,0
NGZ99,20101014,120,0.0,3.565,3.565,3.565,3.565,0,0
NGZ99,20101015,120,0.0,3.425,3.425,3.425,3.425,0,0
NGZ99,20101018,120,0.0,3.37,3.37,3.37,3.37,0,0
NGZ99,20101019,120,0.0,3.395,3.395,3.395,3.395,0,0
NGZ99,20101020,120,0.0,3.5,3.5,3.5,3.5,0,0
NGZ99,20101021,120,0.0,3.425,3.425,3.425,3.425,0,0
NGZ99,20101022,120,0.0,3.17,3.17,3.17,3.17,0,0
NGZ99,20101025,120,0.0,3.178,3.178,3.178,3.178,0,0
NGZ99,20101026,120,0.0,3.315,3.315,3.315,3.315,0,0
NGZ99,20101027,120,0.0,3.364,3.364,3.364,3.364,0,0
NGZ99,20101028,119,0.0,3.355,3.355,3.355,3.355,0,0
NGZ99,20101029,119,0.0,3.335,3.335,3.335,3.335,0,0
NGZ99,20101101,120,0.0,3.425,3.425,3.425,3.425,0,0
NGZ99,20101102,120,0.0,3.273,3.273,3.273,3.273,0,0
