-0.05,0.0,symbol,settle_date
0.0344,0.0,GEH13,20130115
0.0347,0.0,GEH13,20130116
0.035,0.0,GEH13,20130117
0.0353,0.0,GEH13,20130118
0.0368,0.0,GEH13,20130122
0.0372,0.0,GEH13,20130123
0.0376,0.0,GEH13,20130124
0.0379,0.0,GEH13,20130125
0.0393,0.0,GEH13,20130128
0.0397,0.0,GEH13,20130129
0.04,0.0,GEH13,20130130
0.0408,0.0,GEH13,20130131
0.0413,0.0,GEH13,20130201
0.0428,0.0,GEH13,20130204
0.0433,0.0,GEH13,20130205
0.0439,0.0,GEH13,20130206
0.0445,0.0,GEH13,20130207
0.0452,0.0,GEH13,20130208
0.047,0.0,GEH13,20130211
0.0476,0.0,GEH13,20130212
0.0484,0.0,GEH13,20130213
0.0495,0.0,GEH13,20130214
0.0503,0.0,GEH13,20130215
,0.0,GEH14,20140114
,0.0,GEH14,20140115
0.0355,0.0,GEH14,20140116
,0.0,GEH14,20140117
,0.0,GEH14,20140121
,0.0,GEH14,20140122
0.0378,0.0,GEH14,20140123
0.0379,0.0,GEH14,20140124
0.0393,0.0,GEH14,20140127
0.0395,0.0,GEH14,20140128
0.0399,0.0,GEH14,20140129
0.0404,0.0,GEH14,20140130
,0.0,GEH14,20140131
,0.0,GEH14,20140203
,0.0,GEH14,20140204
0.0435,0.0,GEH14,20140205
0.0443,0.0,GEH14,20140206
0.045,0.0,GEH14,20140207
0.0469,0.0,GEH14,20140210
0.0477,0.0,GEH14,20140211
0.0484,0.0,GEH14,20140212
0.0491,0.0,GEH14,20140213
0.05,0.0,GEH14,20140214
0.0373,0.0,GEH15,20150121
0.0376,0.0,GEH15,20150122
0.038,0.0,GEH15,20150123
0.0391,0.0,GEH15,20150126
0.0395,0.0,GEH15,20150127
0.04,0.0,GEH15,20150128
0.0404,0.0,GEH15,20150129
0.0411,0.0,GEH15,20150130
0.0423,0.0,GEH15,20150202
0.0429,0.0,GEH15,20150203
0.0435,0.0,GEH15,20150204
0.0439,0.0,GEH15,20150205
0.0446,0.0,GEH15,20150206
0.0464,0.0,GEH15,20150209
0.0471,0.0,GEH15,20150210
0.0479,0.0,GEH15,20150211
0.0489,0.0,GEH15,20150212
0.0493,0.0,GEH15,20150213
0.0529,0.0,GEH15,20150217
0.0354,0.0,GEH16,20160120
0.0359,0.0,GEH16,20160121
0.0363,0.0,GEH16,20160122
0.0374,0.0,GEH16,20160125
0.0381,0.0,GEH16,20160126
0.039,0.0,GEH16,20160127
0.0399,0.0,GEH16,20160128
0.0399,0.0,GEH16,20160129
0.0415,0.0,GEH16,20160201
0.0416,0.0,GEH16,20160202
0.0422,0.0,GEH16,20160203
,0.0,GEH16,20160204
0.0439,0.0,GEH16,20160205
0.0446,0.0,GEH16,20160208
0.0458,0.0,GEH16,20160209
0.0471,0.0,GEH16,20160210
0.0474,0.0,GEH16,20160211
0.0486,0.0,GEH16,20160212
0.0358,0.0,GEH17,20170118
0.036,0.0,GEH17,20170119
0.0366,0.0,GEH17,20170120
0.0376,0.0,GEH17,20170123
0.0381,0.0,GEH17,20170124
0.0386,0.0,GEH17,20170125
0.0389,0.0,GEH17,20170126
0.0393,0.0,GEH17,20170127
0.0408,0.0,GEH17,20170130
0.0414,0.0,GEH17,20170131
0.0422,0.0,GEH17,20170201
0.0429,0.0,GEH17,20170202
0.0437,0.0,GEH17,20170203
0.0456,0.0,GEH17,20170206
0.0462,0.0,GEH17,20170207
0.047,0.0,GEH17,20170208
0.048,0.0,GEH17,20170209
0.0484,0.0,GEH17,20170210
0.0509,0.0,GEH17,20170213
0.0346,0.0,GEH18,20180117
0.0349,0.0,GEH18,20180118
0.0352,0.0,GEH18,20180119
0.0361,0.0,GEH18,20180122
0.0485,0.0,GEH18,20180123
0.037,0.0,GEH18,20180124
0.0373,0.0,GEH18,20180125
0.0378,0.0,GEH18,20180126
,0.0,GEH18,20180129
0.0394,0.0,GEH18,20180130
,0.0,GEH18,20180131
0.0408,0.0,GEH18,20180201
0.0412,0.0,GEH18,20180202
0.0426,0.0,GEH18,20180205
0.0425,0.0,GEH18,20180206
0.0428,0.0,GEH18,20180207
0.0431,0.0,GEH18,20180208
0.0428,0.0,GEH18,20180209
0.0447,0.0,GEH18,20180212
0.0455,0.0,GEH18,20180213
0.0462,0.0,GEH18,20180214
0.0473,0.0,GEH18,20180215
0.0479,0.0,GEH18,20180216
0.0453,0.0,GEH19,20190115
0.0455,0.0,GEH19,20190116
0.0461,0.0,GEH19,20190117
0.0465,0.0,GEH19,20190118
0.0483,0.0,GEH19,20190122
